         2608 function calls in 0.005 seconds

   Ordered by: cumulative time
   List reduced from 95 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 benchmark_wave.py:50(batch_run)
        1    0.000    0.000    0.005    0.005 batch_wave.py:247(step)
        1    0.001    0.001    0.001    0.001 batch_wave.py:186(_predict)
        3    0.000    0.000    0.001    0.000 batch_wave.py:217(_sample)
        5    0.001    0.000    0.001    0.000 tensor_kernel.py:155(polynomial)
        2    0.000    0.000    0.001    0.000 batch_wave.py:112(_support)
        3    0.000    0.000    0.001    0.000 tensor_kernel.py:86(fk)
        2    0.000    0.000    0.001    0.000 tensor_kernel.py:143(com)
        1    0.000    0.000    0.000    0.000 tensor_kernel.py:108(ik)
      383    0.000    0.000    0.000    0.000 {built-in method torch.where}
      106    0.000    0.000    0.000    0.000 batch_wave.py:82(put)
       48    0.000    0.000    0.000    0.000 tensor_kernel.py:20(finite_rows)
        1    0.000    0.000    0.000    0.000 batch_wave.py:90(_read)
       56    0.000    0.000    0.000    0.000 {built-in method torch.isfinite}
       23    0.000    0.000    0.000    0.000 batch_wave.py:87(fail)
       64    0.000    0.000    0.000    0.000 batch_wave.py:79(active)
      199    0.000    0.000    0.000    0.000 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._linalg.linalg_svdvals}
       85    0.000    0.000    0.000    0.000 _tensor.py:33(wrapped)
      199    0.000    0.000    0.000    0.000 {method 'float' of 'torch._C.TensorBase' objects}


